,n,q,r,a,u,e,p,name,Winner17,Winner15,q2,r2,nameshort,gain or hold,
E14000697,Esher and Walton,-1,-13,SE,UKJ,79894,114285,Esher and Walton,Con,Con,-0.5,-13,Esh,Con hold ,
E14000698,Exeter,-12,-13,SW,UKK,76968,114569,Exeter,Lab,Lab,-11.5,-13,Exe,Lab hold ,
E14000699,Fareham,-4,-14,SE,UKJ,77114,101851,Fareham,Con,Con,-4,-14,Far,Con hold ,
E14000700,Faversham and Mid Kent,12,-11,SE,UKJ,69523,97954,Faversham and Mid Kent,Con,Con,12.5,-11,Fav,Con hold ,
E14000701,Feltham and Heston,0,-11,LO,UKI,82340,134332,Feltham and Heston,Lab,Lab,0.5,-11,Fel,Lab hold ,
E14000702,Filton and Bradley Stoke,-8,-8,SW,UKK,71310,101349,Filton and Bradley Stoke,Con,Con,-8,-8,Fil,Con hold ,
E14000703,Finchley and Golders Green,3,-8,LO,UKI,72530,130507,Finchley and Golders Green,Con,Con,3,-8,Fin,Con hold ,
E14000704,Folkestone and Hythe,12,-14,SE,UKJ,83651,116776,Folkestone and Hythe,Con,Con,12,-14,Fol,Con hold ,
E14000705,Forest of Dean,-7,-6,SW,UKK,69865,90237,Forest Of Dean,Con,Con,-7,-6,For,Con hold ,
E14000706,Fylde,-7,10,NW,UKD,65679,84814,Fylde,Con,Con,-7,10,Fyl,Con hold ,
E14000707,Gainsborough,2,5,EM,UKF,74686,96951,Gainsborough,Con,Con,2.5,5,Gai,Con hold ,
E14000708,Garston and Halewood,-9,3,NW,UKD,73719,99510,Garston and Halewood,Lab,Lab,-8.5,3,Gar,Lab hold ,
E14000709,Gateshead,-3,15,NE,UKC,64524,97101,Gateshead,Lab,Lab,-2.5,15,Gat,Lab hold ,
E14000710,Gedling,3,2,EM,UKF,70000,94780,Gedling,Lab,Lab,3,2,Ged,Lab hold ,
E14000711,Gillingham and Rainham,11,-11,SE,UKJ,70984,103079,Gillingham and Rainham,Con,Con,11.5,-11,Gil,Con hold ,
E14000712,Gloucester,-7,-8,SW,UKK,82968,119713,Gloucester,Con,Con,-7,-8,Glo,Con hold ,
E14000713,Gosport,-3,-14,SE,UKJ,73268,99877,Gosport,Con,Con,-3,-14,Gos,Con hold ,
E14000714,Grantham and Stamford,3,3,EM,UKF,81150,111163,Grantham and Stamford,Con,Con,3.5,3,Gra,Con hold ,
E14000715,Gravesham,10,-10,SE,UKJ,72043,106121,Gravesham,Con,Con,10,-10,Gra,Con hold ,
E14000716,Great Grimsby,3,6,YH,UKE,59200,88500,Great Grimsby,Lab,Lab,3,6,Gre,Lab hold ,
